LP;Numer kodowy ;Nazwa produktu;odpadki;wartoœæ energetyczna;wartoœæ energetyczna;woda;bia³ko ogó³em;bia³ko zwierzêce;bia³ko roœlinne;t³uszcz;wêglowodany ogó³em;popió³;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;cholesterol;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;wêglowodany;wêglowodany;wêglowodany;wêglowodany;% energii z:;% energii z:;% energii z:
LP;Numer kodowy ;Nazwa produktu;odpadki;wartoœæ energetyczna;wartoœæ energetyczna;woda;bia³ko ogó³em;bia³ko zwierzêce;bia³ko roœlinne;t³uszcz;wêglowodany ogó³em;popió³;sód;potas;wapñ;fosfor;magnez;¿elazo;cynk;miedŸ;mangan;ek.retinolu;retinol;beta-karoten;D;E;tiamina;ryboflawina;niacyna; B6;foliany; B12;C;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;ogó³em;C 14:1;C 15:1;C 16:1;C 17:1;C 18:1;C 20:1;C 22:1;ogó³em;C 18:2;C 18:3;C 18:4;C 20:3;C 20:4;C 20:5;C 22:5;C 22:6;ogó³em;;izoleucyna;leucyna;lizyna;metionina;cystyna;fenylo-alanina;tyrozyna;treonina;tryptofan;walina;arginina;histydyna;alanina;kwas asparaginowy;kwas glutaminowy;glicyna;prolina;seryna;sacharoza;laktoza;skrobia;b³onnik pokarmowy;bia³ka;t³uszczu;wêglo-wodanów
LP;Numer kodowy ;Nazwa produktu;g;KJ;kcal;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;mcg;mcg;mcg;mcg;mg;mg;mg;mg;mg;mcg;mcg;mg;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;g;g;g;g;;;
441;7.2.2.015;Zupa ziemniaczana mro¿ona;0;172;41;86,6;1,5;0;1,5;0,2;11;0,7;37;293;22;45;18;0,6;0,38;0,09;0,2;459;0;2753;0;0,42;0,062;0,051;0,87;0,19;34;0;8,9;0;0;0;0;0;0;0;0,03;0;0;0;0,03;0;0;0;0;0;0,01;0;0,01;0,07;0,03;0;0;0;0;0;0;0,1;0;64;99;83;26;16;68;38;61;22;94;80;29;79;280;281;57;63;62;1,4;0;5,6;2,8;15;4;81
442;7.2.2.016;Zupa zimowa mro¿ona;0;106;25;90;2,1;0;2,1;0,3;6,9;0,7;34;236;34;31;15;0,7;0,44;0,08;0,22;552;0;3310;0;0,4;0,064;0,077;0,47;0,15;50;0;23,1;0;0;0;0;0;0;0;0,04;0;0;0;0,04;0;0;0;0;0,01;0;0;0,01;0,06;0,07;0;0;0;0;0;0;0,13;0;96;149;126;33;24;91;61;97;30;123;123;50;133;252;300;102;194;119;1;0;0,8;3,4;34;10;56
443;7.3.1.001;Fasola ciêta, konserwowa bez zalewy;0;69;16;92,8;1,5;0;1,5;0,2;4,5;1;256;124;43;22;12;1,3;0,29;0,07;0,18;43;0;256;0;0,16;0,021;0,039;0,19;0,03;13;0;2,6;0;0;0;0;0;0;0;0,05;0;0,01;0;0,06;0;0;0;0;0,01;0;0;0,01;0,04;0,05;0;0;0;0;0;0;0,09;0;68;114;90;23;18;68;44;79;19;92;74;36;85;258;193;68;70;101;0,2;0;0,1;2,4;37;11;52
444;7.3.1.002;Fasolka flageolet, konserwowa;0;256;61;77,2;6,3;0;6,3;0,2;15;1,3;291;299;56;125;36;1,9;0,62;0,18;0,36;14;0;85;0;0,15;0,066;0,041;0,86;0,18;53;0;3,7;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0,02;0;0;0,02;0,04;0,08;0;0;0;0;0;0;0,12;0;288;475;375;94;74;288;181;338;82;387;313;150;363;1101;801;276;288;426;0,4;0;7,3;6,7;42;3;55
445;7.3.1.003;Groszek zielony, konserwowy bez zalewy;0;262;63;78,1;4,9;0;4,9;0,2;15,8;1;178;114;40;73;28;1,7;0,83;0,16;0,42;42;0;253;0;0,17;0,107;0,076;0,84;0,04;22;0;4;0;0;0;0;0;0;0;0,03;0;0;0;0,03;0;0;0;0;0,01;0;0;0,01;0,09;0,02;0;0;0;0;0;0;0,11;0;227;375;365;93;37;227;128;227;43;267;493;118;277;563;848;208;198;208;3,6;0;6,3;5,7;32;3;65
446;7.3.1.004;Kapusta kwaszona;0;48;11;93,2;1,1;0;1,1;0,2;3,4;2,1;260;211;36;18;7;0,5;0,24;0,04;0,14;3;0;18;0;0;0,03;0,06;0,1;0,17;16;0;16;0;0;0;0;0;0;0;0,04;0;0;0;0,04;0;0;0;0;0;0;0;0;0,03;0,08;0;0;0;0;0;0;0,11;0;48;81;48;17;17;46;28;58;17;66;128;39;79;101;135;73;56;63;0,1;0;0;2,1;39;15;46
447;7.3.1.005;Koncentrat pomidorowy 30%;0;387;92;73,5;5,6;0;5,6;1,5;16,7;2,7;30;1072;55;74;51;1,9;0,99;0,11;0,23;575;0;3448;0;2,3;0,196;0,195;4,07;0,57;10;0;38,1;0;0;0;0;0;0;0;0,23;0;0,04;0;0,27;0;0;0;0;0,17;0;0;0,17;0,65;0,07;0;0;0;0;0;0;0,72;0;148;215;228;37;44;166;104;178;54;159;159;124;246;959;2294;129;172;184;0,8;0;0,3;2,8;25;14;61
448;7.3.1.006;M¹ka sojowa pe³not³usta;0;1774;424;6,8;45;0;45;23,5;20,1;4,6;1;2307;269;753;300;9,1;4,55;1,53;3,48;11;0;66;0;0,6;0,121;0,265;1,84;0,57;300;0;0;0;0;0;0;0,02;0,04;0;2,23;0;0,89;0,09;3,27;0;0;0,04;0;5,63;0,04;0;5,71;11,7;1,65;0;0;0;0;0;0;13,35;0;2245;3576;3067;563;736;2190;1643;1784;798;2300;3090;1394;1863;4851;8330;1863;2558;2151;3,1;0;4,1;11,9;43;49;8
449;7.3.1.007;Ogórek kwaszony;0;45;11;95;1;0;1;0,1;1,9;2;703;99;18;27;43;0,4;0,82;0,06;0,1;17;0;100;0;0;0,01;0,02;0,2;0;8;0;4;0;0;0;0;0;0;0;0,03;0;0;0;0,03;0;0;0;0;0;0;0;0;0,02;0,02;0;0;0;0;0;0;0,04;0;39;56;50;11;13;33;39;39;9;52;84;20;50;100;267;54;33;52;0;0;0,1;0,5;38;8;54
450;7.3.1.008;Papryka czerwona konserwowa;0;124;30;92;0,8;0;0,8;1,5;5;0,7;291;78;14;68;5;3;0,49;0,06;0,04;133;0;800;0;1,2;0,04;0,05;0,55;0,18;17;0;81,2;0;0;0;0;0;0;0;0,23;0;0,07;0;0,3;0;0;0;0;0,04;0;0;0,04;0,53;0,3;0;0;0;0;0;0;0,83;0;32;52;44;11;19;30;22;36;13;42;47;19;41;140;132;36;44;39;0,1;0;0,1;1,8;11;45;44
451;7.3.1.009;Skrobia ziemniaczana;0;1433;342;15;0,6;0;0,6;0,1;83,9;0,4;5;14;39;59;8;0,6;0,06;0,01;0,17;0;0;0;0;0;0;0;0;0,01;13;0;1,3;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;0,04;0,01;0;0;0;0;0;0;0,05;0;27;40;43;10;6;29;14;24;11;44;31;12;26;111;98;21;26;26;0,2;0;83;0,4;1;0;99
452;7.3.1.010;Sos keczup;0;391;93;71;1,8;0;1,8;1;22,2;4;962;335;27;59;32;1,4;0,26;0,26;0,24;175;0;1049;0;1,5;0,1;0,061;0,37;0,1;5;0;22,7;0;0;0;0;0;0;0;0,15;0;0,03;0;0,18;0;0;0;0;0,11;0;0;0,11;0,43;0,04;0;0;0;0;0;0;0,47;0;58;81;76;18;8;62;24;58;14;62;49;39;62;301;718;48;50;71;12,7;0;1;3,2;8;9;83
453;7.3.1.011;Szparagi konserwowe;0;79;19;93,9;2,1;0;2,1;0,7;2,5;0,8;290;130;14;28;9;0,4;0,4;0,06;0,14;28;0;169;0;0,3;0,03;0,04;0,5;0,04;55;0;15;0;0;0;0;0;0;0;0,16;0;0,01;0;0,17;0;0;0,01;0;0,01;0;0;0,02;0,35;0,03;0;0;0;0;0;0;0,38;0;100;117;126;27;32;64;43;76;27;103;126;42;126;316;442;87;145;102;0,1;0;0,1;1,5;45;33;22
454;7.3.1.012;Kukurydza konserwowa;0;429;103;71,8;2,9;0;2,9;1,2;23,6;0,5;270;220;4;79;23;0,5;0,5;0,04;0,1;35;0;210;0;0,46;0,04;0,06;1,5;0,13;8;0;1;0;0;0;0;0;0;0;0,15;0;0,03;0;0,2;0;0;0;0;0,27;0;0;0,27;0,44;0,04;0;0;0;0;0;0;0,53;0;116;321;125;63;27;85;70;122;20;161;154;103;219;178;527;111;346;151;2,2;0;10,6;3,9;12;10;78
455;7.4.1.001;Pieczarka uprawna, œwie¿a;11;63;15;83;2,4;0;2,4;0,4;2,3;0,9;5;257;10;147;11;0,8;0,42;0,36;0,05;2;0;9;1,73;0,1;0,02;0,533;4,28;0,04;26,7;0;4,5;0;0;0;0;0;0;0;0,04;0;0,02;0;0,06;0;0;0;0;0,03;0;0;0,03;0,2;0;0;0;0;0;0;0;0,2;0;98;213;267;64;109;95;92;93;26;73;116;125;125;236;353;94;119;103;0,1;0;0,2;1,8;65;21;14
456;8.1.1.001;Agrest;1;169;40;85,8;0,8;0;0,8;0,2;11,7;0,5;2;228;20;26;10;0,5;0,09;0,19;0,05;27;0;158;0;0,57;0,041;0,028;0,18;0,01;11,9;0;25,6;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0,02;0;0;0,02;0,06;0,04;0;0;0;0;0;0;0,1;0;26;45;40;9;7;25;10;26;5;35;19;13;35;228;176;29;33;34;0,7;0;0;3;8;4;88
457;8.1.1.002;Ananas;48;117;28;44,5;0,2;0;0,2;0,1;7,1;0,2;1;114;9;6;8;0,2;0,12;0,04;0,26;4;0;22;0;0,05;0,047;0,021;0,21;0,05;5,7;0;7,8;0;0;0;0;0;0;0;0,01;0;0,01;0;0,01;0;0;0;0;0,01;0;0;0,01;0,02;0,02;0;0;0;0;0;0;0,04;0;9;16;22;2;1;10;6;10;3;6;15;5;7;28;22;23;10;13;4,1;0;0;0,6;3;3;94
458;8.1.1.003;Arbuz;48;79;19;47,1;0,3;0;0,3;0,1;4,4;0,2;1;68;3;5;1;0,1;0,04;0,03;0,01;20;0;120;0;0,05;0,042;0,01;0,1;0,07;1,6;0;5,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;13;47;4;2;11;9;20;5;11;44;4;12;29;47;7;18;11;1,2;0;0;0,2;7;2;91
459;8.1.1.004;Awokado;33;449;107;49,8;1,3;0;1,3;10,3;5;0,7;7;402;7;27;26;0,7;0,27;0,12;0,13;5;0;28;0;0,87;0,074;0,08;1,27;0,19;41,5;0;5,4;0;0;0;0;0;0;0;1,21;0;0;0;1,21;0;0;0,34;0;7,37;0;0;7,71;0,84;0,04;0,01;0;0;0;0;0;0,89;0;60;106;79;31;17;58;42;56;17;82;50;25;101;237;178;70;65;68;0,1;0;0;2,2;5;85;10
460;8.1.1.005;Banan;37;251;60;46,9;0,6;0;0,6;0,2;14,8;0,5;1;249;4;13;21;0,3;0,11;0,06;0,26;5;0;30;0;0,17;0,025;0,063;0,32;0,23;13,9;0;5,7;0;0;0;0,01;0;0;0;0,06;0;0,01;0;0,08;0;0;0,01;0;0,01;0;0;0,02;0,03;0,01;0;0;0;0;0;0;0,04;0;25;53;35;8;13;28;18;25;9;35;35;60;29;85;81;27;30;35;7;0;1,4;1,1;4;3;93
461;8.1.1.006;Brzoskwinia;12;171;41;75,9;0,9;0;0,9;0,2;10,5;0,5;3;176;8;21;7;0,5;0,12;0,04;0,11;87;0;524;0;0,84;0,019;0,048;0,85;0,02;3,5;0;2,4;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0,06;0;0;0,06;0,08;0;0;0;0;0;0;0;0,08;0;18;41;43;45;12;26;30;40;5;58;25;25;58;134;207;23;40;48;4,6;0;0;1,7;9;4;87
462;8.1.1.007;Cytryna;38;94;22;55,1;0,5;0;0,5;0,2;5,9;0,3;3;78;25;14;6;0,4;0,05;0,12;0,02;1;0;2;0;0,12;0,025;0,014;0,06;0,05;7,4;0;31;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0,01;0;0;0,01;0,04;0,01;0;0;0;0;0;0;0,05;0;18;16;23;9;8;22;12;9;4;23;38;9;37;86;71;60;33;18;0,2;0;0;1,2;9;7;84
463;8.1.1.008;Czarne jagody;2;185;44;84,4;0,8;0;0,8;0,6;12;0,3;1;61;15;14;2;0,7;0,44;0,11;0,82;6;0;33;0;1,84;0,018;0,018;0,27;0,06;5,9;0;14,4;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0,07;0;0;0,07;0,17;0,22;0;0;0;0;0;0;0,38;0;36;71;20;19;12;42;14;32;5;48;58;17;48;90;145;48;44;34;0,4;0;0,1;3,1;7;12;81
464;8.1.1.009;Czereœnie;9;231;55;76,1;0,9;0;0,9;0,3;13,3;0,5;2;184;12;15;6;0,3;0,14;0,05;0,02;11;0;63;0;0,12;0,037;0,045;0,3;0,05;5,5;0;13,7;0;0;0;0;0;0;0;0,05;0;0,02;0;0,06;0;0;0;0;0,07;0;0;0,07;0,05;0,04;0;0;0;0;0;0;0,08;0;19;28;36;5;3;19;12;21;6;27;15;13;28;557;36;23;30;31;0,5;0;0;1,2;7;4;89
465;8.1.1.010;Grejpfrut;36;97;23;57;0,4;0;0,4;0,1;6,3;0,3;1;177;14;12;8;0,1;0,12;0,04;0,01;2;0;12;0;0,19;0,026;0,013;0,13;0,02;7;0;25,6;0;0;0;0;0;0;0;0,03;0;0,01;0;0,03;0;0;0;0;0,02;0;0;0,02;0,04;0,01;0;0;0;0;0;0;0,04;0;36;9;10;15;8;9;8;12;3;12;33;17;19;54;92;13;15;22;2,4;0;0;1,2;7;5;88
466;8.1.1.011;Gruszka;24;173;41;64,2;0,5;0;0,5;0,2;10,9;0,2;2;90;9;11;6;0,2;0,11;0,05;0,05;2;0;8;0;0,3;0,014;0,028;0,07;0,02;7,6;0;4;0;0;0;0;0;0;0;0,02;0;0,01;0;0,03;0;0;0;0;0,02;0;0;0,02;0,05;0,02;0;0;0;0;0;0;0,07;0;27;36;27;6;3;33;13;30;6;27;23;3;15;148;29;8;7;17;1,4;0;0;1,6;5;3;92
467;8.1.1.012;Gujawa;20;126;30;68,9;0,6;0;0,6;0,5;9,5;0,5;4;168;10;18;9;0,3;0,14;0,07;0,07;63;0;380;0;0,72;0,04;0,04;0,96;0,11;4;0;184;0;0;0;0;0;0,03;0;0,08;0;0,02;0;0,14;0;0;0,02;0;0,02;0;0;0,04;0,16;0,04;0;0;0;0;0;0;0,2;0;38;68;29;6;5;2;13;38;9;34;26;9;51;65;136;51;31;30;0,2;0;0,1;3,8;9;14;77
468;8.1.1.013;Jab³ko;27;141;34;63,4;0,3;0;0,3;0,3;8,8;0,2;1;98;3;7;2;0,2;0,12;0,03;0,06;3;0;18;0;0,36;0,025;0,019;0,12;0,02;4,4;0;6,7;0;0;0;0;0;0;0;0,03;0;0;0;0,03;0;0;0;0;0,01;0;0;0,01;0,06;0,01;0;0;0;0;0;0;0,07;0;12;22;21;3;4;9;5;13;4;14;9;7;16;73;39;13;11;15;2,3;0;0,2;1,5;4;8;88
469;8.1.1.014;Kiwi;15;199;48;71,4;0,8;0;0,8;0,4;11,8;0,6;3;246;21;27;13;0,3;0,09;0,11;0,09;6;0;37;0;0,17;0,017;0,043;0,42;0,13;32,3;0;50,1;0;0;0;0;0;0;0;0,05;0;0,05;0;0,1;0;0;0,05;0;0,05;0;0;0,1;0,16;0,05;0;0;0;0;0;0;0,21;0;35;38;49;10;7;35;24;42;11;37;50;14;47;96;128;56;40;45;0,6;0;0,3;1,8;7;8;85
470;8.1.1.015;Maliny;0;123;29;85,8;1,3;0;1,3;0,3;12;0,6;2;203;35;33;20;0,8;0,36;0,19;0,32;3;0;16;0;0,48;0,018;0,062;0,26;0,06;30;0;31,4;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0;0,01;0;0;0,01;0,03;0,03;0;0;0;0;0;0;0,06;0;51;78;50;17;15;45;31;45;12;64;68;31;81;304;195;58;85;68;1;0;0;6,7;18;9;73
471;8.1.1.016;Mandarynki;25;132;32;65,7;0,4;0;0,4;0,2;8,4;0,3;1;142;22;14;13;0,2;0,05;0,04;0,03;12;0;73;0;0,15;0,079;0,017;0,15;0,05;15,8;0;23,1;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0,01;0;0,01;0;0;0,02;0,02;0,01;0;0;0;0;0;0;0,03;0;16;15;28;8;7;19;11;8;4;21;34;8;34;73;67;55;29;16;5,3;0;0;1,4;6;4;90
472;8.1.1.017;Mango;31;193;46;56,4;0,3;0;0,3;0,2;11,7;0,3;5;139;8;10;13;0,3;0,08;0,09;0,12;270;0;1621;0;0,69;0,041;0,041;0,41;0,09;24,8;0;19,3;0;0;0;0;0;0,01;0;0,04;0;0;0;0,05;0;0;0,03;0;0,04;0;0;0,08;0,01;0,03;0;0;0;0;0;0;0,04;0;15;26;34;4;3;14;8;16;7;8;21;19;10;42;34;50;15;19;7;0;0,2;1,2;3;4;93
473;8.1.1.018;Melon;49;78;19;45,7;0,5;0;0,5;0,2;4,3;0,4;11;195;14;11;12;0,3;0,14;0,01;0,05;93;0;561;0;0,05;0,02;0,01;0,31;0,06;15,3;0;10,2;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0,01;0;0;0,01;0,01;0,01;0;0;0;0;0;0;0,02;0;28;27;44;8;5;17;14;21;5;37;19;11;36;65;43;29;34;19;1,5;0;0;0,5;10;7;83
474;8.1.1.019;Morele;9;178;43;78,6;0,8;0;0,8;0,2;10,8;0,5;1;250;21;19;6;0,5;0,13;0,14;0,16;231;0;1386;0;0,46;0,027;0,046;0,73;0,06;4,5;0;6,1;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0;0,08;0;0;0,08;0,04;0;0;0;0;0;0;0;0,04;0;25;41;41;8;13;22;18;29;5;30;18;23;49;306;86;25;38;41;4,6;0;0,1;1,5;8;4;88
475;8.1.1.020;Nektarynka;9;185;44;78,8;0,8;0;0,8;0,2;10,7;0,5;1;195;8;25;12;0,5;0,12;0,07;0,12;15;0;94;0;1,64;0,018;0,036;0,09;0,02;3,6;0;12,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0;0,04;0;0;0,07;0,04;0,04;0;0;0;0;0;0;0,07;0;17;38;40;41;13;24;27;36;5;54;23;23;54;126;196;21;36;44;5,7;0;0;1,1;8;4;88
476;8.1.1.021;Papaja;33;114;27;58,7;0,4;0;0,4;0,1;7,4;0,4;2;171;16;3;7;0,1;0,05;0,02;0,01;134;0;804;0;1,21;0,02;0,02;0,2;0,01;25,5;0;41,5;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0,01;0;0,01;0;0;0,01;0;0,01;0;0;0;0;0;0;0,01;0;13;25;40;3;1;14;8;17;13;16;16;8;78;52;29;29;16;24;2,9;0;0;1,3;6;2;92
477;8.1.1.022;Pomarañcza;28;132;32;62,7;0,6;0;0,6;0,1;8,1;0,4;2;132;24;17;9;0,3;0,11;0,05;0,02;14;0;82;0;0,14;0,058;0,022;0,14;0,07;21,6;0;35,3;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0,01;0;0,02;0;0;0,03;0,02;0,01;0;0;0;0;0;0;0,03;0;22;20;41;12;9;28;16;12;5;30;50;12;48;108;93;78;42;22;2,8;0;0;1,4;8;4;88
478;8.1.1.023;Porzeczki bia³e;3;134;32;82,6;1;0;1;0,2;12,7;0,5;1;267;29;22;12;1;0,21;0,13;0,64;0;0;0;0;0,11;0,078;0,019;0,19;0,05;4,8;0;38,8;0;0;0;0;0;0;0;0,03;0;0,01;0;0,04;0;0;0;0;0,03;0;0;0,03;0,04;0,03;0;0;0;0;0;0;0,07;0;10;24;26;42;19;24;21;34;5;34;87;47;51;153;255;37;42;58;0,6;0;0;6,2;12;5;83
479;8.1.1.024;Porzeczki czarne;3;145;35;80,2;1,3;0;1,3;0,2;14,5;0,9;2;326;38;56;19;1,2;0,31;0,11;0,71;14;0;79;0;0,97;0,06;0,031;0,34;0,08;15,5;0;177,1;0;0;0;0;0;0;0;0,03;0;0;0;0,03;0;0;0;0;0,01;0;0;0,01;0,07;0,03;0;0;0;0;0;0;0,1;0;14;33;36;53;25;33;28;44;8;44;113;58;66;198;330;48;53;77;0,7;0;0;7,7;15;5;80
480;8.1.1.025;Porzeczki czerwone;3;126;30;81,7;1,1;0;1,1;0,2;13,4;0,7;2;251;35;32;12;0,9;0,21;0,11;0,68;4;0;23;0;0,39;0,039;0,021;0,26;0,04;10,7;0;44,4;0;0;0;0;0;0;0;0,03;0;0,01;0;0,04;0;0;0;0;0,03;0;0;0,03;0,04;0,03;0;0;0;0;0;0;0,07;0;11;28;30;46;21;28;24;37;7;37;96;49;56;168;278;41;46;65;0,3;0;0;7,5;14;6;80
481;8.1.1.026;Poziomki;0;139;33;89,6;0,8;0;0,8;0,5;8,3;0,8;1;147;28;27;10;0,8;0,08;0,12;0,22;2;0;14;0;0,12;0,03;0,07;0,3;0,05;17;0;60;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0,07;0;0;0,07;0,14;0,1;0;0;0;0;0;0;0,24;0;22;48;38;2;8;27;33;28;12;27;40;18;48;212;132;38;31;35;1,4;0;0;2;10;13;77
482;8.1.1.027;Œliwki;6;178;43;81,9;0,6;0;0,6;0,2;11;0,4;2;196;15;19;8;0,5;0,1;0,1;0,08;46;0;277;0;0,81;0,055;0,037;0,46;0,05;2,8;0;4,9;0;0;0;0;0;0;0;0,03;0;0,01;0;0,04;0;0;0;0;0,01;0;0;0,01;0,07;0,03;0;0;0;0;0;0;0,09;0;17;22;17;7;4;17;7;17;5;21;14;14;30;264;39;12;36;22;3,2;0;0;1,5;5;4;91
483;8.1.1.028;Truskawki;4;114;27;87,3;0,7;0;0,7;0,4;6,9;0,8;1;128;25;24;10;0,7;0,09;0,11;0,21;2;0;13;0;0,12;0,027;0,062;0,27;0,06;16,3;0;63,4;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0,07;0;0;0,07;0,13;0,1;0;0;0;0;0;0;0,23;0;18;40;32;1;7;23;27;24;9;23;34;14;40;177;116;32;25;31;1,3;0;0;1,7;10;12;78
484;8.1.1.029;Winogrona;2;284;68;79,7;0,5;0;0,5;0,2;17,2;0,4;2;221;17;21;6;0,3;0,11;0,09;0,09;3;0;20;0;0,69;0,059;0,039;0,2;0,08;5,9;0;5,3;0;0;0;0;0;0;0;0,06;0;0,01;0;0,07;0;0;0;0;0,01;0;0;0,01;0,05;0,01;0;0;0;0;0;0;0,06;0;5;13;14;22;10;13;11;18;3;18;46;23;26;74;127;19;22;29;0,5;0;0;1,5;3;3;94
485;8.1.1.030;Wiœnie;10;178;43;78,6;0,8;0;0,8;0,4;9,8;0,5;3;135;12;18;8;0,3;0,09;0,12;0,03;36;0;216;0;0,12;0,044;0,053;0,36;0,03;7,2;0;10,8;0;0;0;0;0;0;0;0,05;0;0,02;0;0,07;0;0;0;0;0,1;0;0;0,1;0,05;0,05;0;0;0;0;0;0;0,11;0;16;25;32;4;3;17;10;19;5;24;14;11;25;496;32;21;27;28;0,4;0;0;0,9;8;7;85
486;8.2.1.001;Czarne jagody mro¿one;0;189;45;86,1;0,8;0;0,8;0,6;12,2;0,3;1;62;15;14;2;0,7;0,45;0,11;0,84;6;0;34;0;1,88;0,018;0,018;0,28;0,06;5;0;13,2;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0,07;0;0;0,07;0,17;0,22;0;0;0;0;0;0;0,39;0;37;72;20;19;12;43;14;33;5;49;59;17;49;92;148;49;45;35;0,4;0;0,1;3,2;7;12;81
487;8.2.1.002;Maliny mro¿one;0;123;29;85,8;1,3;0;1,3;0,3;12;0,6;2;203;35;33;20;0,8;0,36;0,19;0,32;3;0;16;0;0,48;0,018;0,062;0,26;0,06;27;0;28,3;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0;0,01;0;0;0,01;0,03;0,03;0;0;0;0;0;0;0,06;0;51;78;50;17;15;45;31;45;12;64;68;31;81;304;195;58;85;68;1;0;0;6,7;18;9;73
488;8.2.1.003;Porzeczki czarne mro¿one;0;149;36;82,7;1,3;0;1,3;0,2;14,9;0,9;2;336;39;58;20;1,2;0,32;0,11;0,73;14;0;81;0;1;0,062;0,032;0,35;0,08;14;0;164,3;0;0;0;0;0;0;0;0,03;0;0;0;0,03;0;0;0;0;0,01;0;0;0,01;0,07;0,03;0;0;0;0;0;0;0,1;0;14;34;37;55;26;34;29;45;8;45;117;60;68;204;340;49;55;79;0,7;0;0;7,9;15;5;80
489;8.2.1.004;Œliwki bez pestek mro¿one;0;189;45;87,1;0,6;0;0,6;0,2;11,7;0,4;2;208;16;20;8;0,5;0,11;0,11;0,09;49;0;295;0;0,86;0,059;0,039;0,49;0,05;3;0;4,7;0;0;0;0;0;0;0;0,03;0;0,01;0;0,04;0;0;0;0;0,01;0;0;0,01;0,07;0,03;0;0;0;0;0;0;0,1;0;18;23;18;7;4;18;7;18;5;22;15;15;32;281;42;13;38;23;3,4;0;0;1,6;5;4;91
490;8.2.1.005;Truskawki mro¿one;0;119;28;90,9;0,7;0;0,7;0,4;7,2;0,8;1;133;26;25;10;0,7;0,09;0,11;0,22;2;0;14;0;0,12;0,028;0,065;0,28;0,06;15;0;59,4;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0,07;0;0;0,07;0,14;0,1;0;0;0;0;0;0;0,24;0;19;42;33;1;7;24;28;25;9;24;35;15;42;184;121;33;26;32;1,4;0;0;1,8;10;12;78
