LP;Numer kodowy ;Nazwa produktu;odpadki;wartoœæ energetyczna;wartoœæ energetyczna;woda;bia³ko ogó³em;bia³ko zwierzêce;bia³ko roœlinne;t³uszcz;wêglowodany ogó³em;popió³;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;cholesterol;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;wêglowodany;wêglowodany;wêglowodany;wêglowodany;% energii z:;% energii z:;% energii z:
LP;Numer kodowy ;Nazwa produktu;odpadki;wartoœæ energetyczna;wartoœæ energetyczna;woda;bia³ko ogó³em;bia³ko zwierzêce;bia³ko roœlinne;t³uszcz;wêglowodany ogó³em;popió³;sód;potas;wapñ;fosfor;magnez;¿elazo;cynk;miedŸ;mangan;ek.retinolu;retinol;beta-karoten;D;E;tiamina;ryboflawina;niacyna; B6;foliany; B12;C;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;ogó³em;C 14:1;C 15:1;C 16:1;C 17:1;C 18:1;C 20:1;C 22:1;ogó³em;C 18:2;C 18:3;C 18:4;C 20:3;C 20:4;C 20:5;C 22:5;C 22:6;ogó³em;;izoleucyna;leucyna;lizyna;metionina;cystyna;fenylo-alanina;tyrozyna;treonina;tryptofan;walina;arginina;histydyna;alanina;kwas asparaginowy;kwas glutaminowy;glicyna;prolina;seryna;sacharoza;laktoza;skrobia;b³onnik pokarmowy;bia³ka;t³uszczu;wêglo-wodanów
LP;Numer kodowy ;Nazwa produktu;g;KJ;kcal;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;mcg;mcg;mcg;mcg;mg;mg;mg;mg;mg;mcg;mcg;mg;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;g;g;g;g;;;
9;1.1.1.009;Mleko w proszku odt³uszczone;0;1507;360;4;35,7;35,7;0;0,8;51,2;8,3;480;1874;1404;1012;143;1,2;4,15;0,24;0,2;7;6;5;0,02;0,01;0,381;1,785;1,19;0,47;50;2,6;13,1;0,03;0,02;0,01;0,02;0,03;0,09;0;0,24;0;0,1;0;0,54;0;0;0,02;0;0,18;0;0;0,2;0,02;0;0;0;0;0;0;0;0,02;20;1999;3106;3497;877;275;1659;1395;1363;433;2398;1162;940;1152;2610;6951;655;3328;1902;0;51;0;0;40;2;58
10;1.1.1.010;Mleko w proszku pe³ne;0;2005;479;4;27;27;0;24;38,7;6,3;357;1393;1062;765;108;0,9;3,09;0,18;0,2;199;174;149;0,24;0,41;0,288;1,35;0,9;0,36;40;2,4;10,8;0,73;0,45;0,27;0,63;0,79;2,54;0,25;5,9;0,23;2,54;0;14,33;0,32;0,16;0,61;0,25;6,3;0;0;7,64;0,32;0,34;0;0;0;0;0;0;0,66;109;1510;2349;2645;663;208;1255;1055;1031;328;1814;879;711;871;1974;5258;495;2517;1438;0;38,7;0;0;23;44;33
11;1.1.1.011;Mleko zagêszczone nies³odzone;0;550;131;75;6,6;6,6;0;7,5;9,4;1,5;120;304;258;202;26;0,2;0,7;0,04;0,02;62;54;47;0,1;0,13;0,07;0,328;0,22;0,09;8;0,4;5;0,23;0,14;0,08;0,2;0,25;0,79;0,08;1,84;0,07;0,79;0;4,47;0,1;0,05;0,19;0,08;1,97;0;0;2,39;0,1;0,11;0;0;0;0;0;0;0,21;30;369;574;647;162;51;307;258;252;80;443;215;174;213;482;1285;121;615;351;0;9,4;0;0;20;51;29
12;1.1.1.012;Mleko zagêszczone s³odzone;0;1364;326;27,5;7,5;7,5;0;8;55,3;1,7;110;348;295;212;30;0,2;0,8;0,05;0,02;66;58;50;0,1;0,14;0,08;0,375;0,25;0,1;9;0,5;4;0,24;0,15;0,09;0,21;0,26;0,85;0,08;1,97;0,08;0,85;0;4,78;0,11;0,05;0,2;0,08;2,1;0;0;2,54;0,11;0,11;0;0;0;0;0;0;0,22;32;419;653;735;184;58;348;293;286;91;504;244;197;242;548;1460;138;699;399;45;10,3;0;0;9;22;69
13;1.1.1.013;Mleko UHT 3,2% t³uszczu;0;256;61;88;3,3;3,3;0;3,2;4,8;0,7;41;139;113;81;12;0,1;0,32;0,02;0,02;33;29;26;0,03;0,1;0,036;0,17;0,1;0,04;1;0,2;1;0,1;0,06;0,04;0,08;0,11;0,34;0,03;0,79;0,03;0,34;0;1,92;0,04;0,02;0,08;0,03;0,84;0;0;1,01;0,04;0,04;0;0;0;0;0;0;0,08;13;185;287;323;81;25;153;129;126;40;222;107;87;106;241;643;61;308;176;0,2;4,6;0;0;22;46;32
14;1.1.1.014;Mleko UHT 1,5% t³uszczu;0;198;47;89,4;3,4;3,4;0;1,5;5;0,7;42;141;110;92;12;0,1;0,37;0,01;0,02;19;17;12;0,01;0,05;0,037;0,17;0,1;0,04;1;0,2;1;0,06;0,03;0,02;0,04;0,05;0,15;0;0,43;0;0,17;0,01;0,96;0;0;0,03;0;0,32;0;0;0,35;0,03;0,01;0;0;0;0;0;0;0,04;5;190;296;333;83;26;158;133;130;41;228;111;89;110;248;662;62;317;181;0,2;4,8;0;0;29;28;43
15;1.1.1.015;Mleko UHT 0,5% t³uszczu;0;165;39;90,3;3,5;3,5;0;0,5;5,1;0,6;42;141;111;91;12;0,1;0,4;0,01;0,01;15;13;12;0;0,01;0,037;0,17;0,1;0,04;1;0,2;1;0,02;0,01;0,01;0,01;0,02;0,05;0;0,14;0;0,06;0;0,32;0;0;0,01;0;0,11;0;0;0,12;0,01;0;0;0;0;0;0;0;0,01;2;196;304;343;86;27;163;137;134;42;235;114;92;113;256;681;64;326;186;0,2;4,9;0;0;36;11;53
16;1.2.1.001;Œmietanka kremowa 30% t³uszczu;0;1200;287;64,2;2,2;2,2;0;30;3,1;0,5;32;101;86;62;9;0,1;0,23;0,01;0;249;218;187;0,22;0,51;0,022;0,109;0,07;0,03;4;0,2;0;0,91;0,57;0,34;0,79;0,99;3,18;0,31;7,37;0,28;3,18;0;17,92;0,4;0,2;0,77;0,31;7,88;0;0;9,56;0,4;0,43;0;0;0;0;0;0;0,83;106;115;195;181;54;20;100;97;91;29;150;68;55;68;157;453;40;210;118;0;3,1;0;0;3;93;4
17;1.2.1.002;Œmietana 18% t³uszczu;0;770;184;75,3;2,5;2,5;0;18;3,6;0,6;37;116;99;71;10;0,1;0,27;0,02;0;150;131;112;0,14;0,31;0,027;0,126;0,07;0,03;4;0,3;0;0,54;0,34;0,2;0,48;0,6;1,91;0,19;4,42;0,17;1,91;0;10,76;0,24;0,12;0,46;0,19;4,73;0;0;5,74;0,24;0,26;0;0;0;0;0;0;0,5;56;131;221;206;62;23;114;109;103;32;170;78;63;78;178;514;46;238;134;0;3,6;0;0;6;86;8
18;1.2.1.003;Œmietana 12% t³uszczu;0;556;133;80,8;2,7;2,7;0;12;3,9;0,6;40;125;106;76;11;0,1;0,29;0,02;0;100;87;75;0,1;0,21;0,029;0,135;0,06;0,04;4;0,3;0;0,36;0,23;0,14;0,32;0,4;1,27;0,12;2,95;0,11;1,27;0;7,17;0,16;0,08;0,31;0,12;3,15;0;0;3,82;0,16;0,17;0;0;0;0;0;0;0,33;39;141;239;223;66;24;123;119;111;35;184;84;67;83;192;556;49;258;145;0;3,9;0;0;8;80;12
